"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"charta de monasterio wallerensi","W1463","A5366"
"liber contra eos qui dicunt regali potestati christi ecclesiam subiacere","W1673","A5453"
"gesta aelfredi regis anglosaxonum","W1788","A5500"
"libellus de ecclesia centulensi","W1828","A4580"
"versus","W1870","A4580"
"vita hludowici imperatoris","W1904","A4982"
"epistula ad henricum legatum","W2480","A5355"
"miracula sancti benedicti","W2535","A5457"
"liber gestorum recentium","W2726","A5361"
"vita willehadi episcopi bremensis","W3249","A4209"
"virtutes et miracula willehadi episcopi bremensis","W3274","A4209"
"de amore","W3402","A5454"
"chronica slavorum","W3660","A4373"
"de grammatico","W3712","A5460"
"de ueritate","W3729","A5460"
"epistula de sacrificio azimi et fermentati","W3718","A5460"
"proslogion","W3714","A5460"
"metaphysica fratris rogeri ordinis fratrum minorum, de vitiis contractis in studio theologiae","W3728","A4387"
"de casu diaboli","W3753","A5460"
"de conceptu uirginali et de originali peccato","W3731","A5460"
"de concordia praescientiae et praedestinationis et gratiae dei cum libero arbitrio","W3703","A5460"
"de libertate arbitrii","W3719","A5460"
"de processione spiritus sancti","W3751","A5460"
"epistula de incarnatione uerbi","W3736","A5460"
"epistula de sacramentis ecclesiae","W3708","A5460"
"epistulae","W3748","A5460"
"fragmenta philosophica","W3756","A5460"
"monologion","W3733","A5460"
"orationes siue meditationes","W3705","A5460"
"cur deus homo","W3745","A5460"
"opus tertium","W3735","A4387"
"libri ii de sancto emmerammo","W3800","A4729"
"capitula","W3804","A5351"
"carmina","W4063","A5477"
"duo carmina ad bartholomaeum fontium","W4173","A4336"
"carmina. supplementum","W4349","A5370"
"commentaria","W4488","A4447"
"expositiones historicae in libros salomonis","W5100","A4452"
"opusculum quod incipit 'his regnantibus, hi nominati leguntur fuisse prophetae’","W5104","A4452"
"de concordia annorum regum israel et iuda","W5106","A4452"
"quaestiones de sancta trinitate","W367","A5450"
"insertum in thomae de aquino opusculo in orationem dominicam","W190","A4464"
"epistolae sive praefationes","W189","A5103"
"carmina","W349","A5450"
"disputatio de rhetorica et de uirtutibus sapientissimi regis karli et albini magistri","W375","A5450"
"vita richarii conf. centulensis","W372","A5450"
"vita vedastis ep. atrebatensis ii","W380","A5450"
"de fide sanctae trinitatis et de incarnatione christi","W352","A5450"
"commentaria in sancti iohannis euangelium","W387","A5450"
"grammatica","W419","A5450"
"orthographia","W384","A5450"
"vita willibrordi archiep. traiectensis","W391","A5450"
"epistolae","W424","A5450"
"epistulae","W531","A4497"
"expositio historica in librum regum","W1249","A4452"
"expositio super danielem","W1227","A4452"
"expositio super heptateuchum","W1258","A4452"
"liber gregorialis","W1418","A5433"
"versiculi ad librum gregorialem pertinentes","W1459","A5433"
"epistolae","W1431","A5433"
"versus marini","W1438","A5433"
"sermones","W1668","A5440"
"de spiritu et anima","W1920","A4494"
"oratio contra septem uitia","W2000","A4467"
"homilia de transfiguratione domini","W2047","A4467"
"libellus de conflictu uitiorum atque uirtutum","W2054","A4467"
"sermo de assumptione sanctae mariae","W2005","A4467"
"sermo de cupiditate","W2011","A4467"
"vita sanctorum patrum paldonis, tatonis et tasonis","W2050","A4467"
"expositio in apocalypsin","W2014","A4467"
"sermo in purificatione sanctae mariae","W2045","A4467"
"de antichristo quomodo nasci debeat","W2976","A4485"
"de virginitate. carmen","W4059","A5010"
"aenigmata","W4017","A5010"
"epistulae","W4065","A5010"
"carmina ad aldhelmum","W4067","A5010"
"carmina ecclesiastica","W4070","A5010"
"epitome tractatus aldhelmiani","W4069","A5010"
"prosa de uirginitate","W4079","A5010"
"de metris et enigmatibus ac pedum regulis","W4080","A5010"
"troilus","W4147","A4385"
"chartae aldhelmianae","W4934","A5010"
"sermones in natalicium et dormitionem sanctae mariae uirginis in latinum translati","W5074","A5571"
"carmina rhythmica","W360","A5450"
"miracula sancti benedicti","W2969","A5439"
"libri duo pro filiis et contra iudith uxorem ludovici pii","W1677","A4476"
"contra praeceptum impium de baptismo iudaicorum mancipiorum","W1682","A4476"
"de insolentia iudaeorum","W1678","A4476"
"oratio pastoralis","W1564","A4739"
"vita sancti thomae archiepiscopi cantuariensis","W5322","A4551"
"vita sancti mansueti","W589","A5551"
"vita sancti walberti","W592","A5551"
"vita kanuti regis","W681","A4487"
"de planctu naturae","W1130","A4458"
"summa 'quoniam homines'","W1113","A4458"
"de institutione inclusarum","W1535","A4739"
"dialogus de anima","W1545","A4739"
"de speculo caritatis","W1568","A4739"
"homiliae de oneribus propheticis isaiae","W1555","A4739"
"sermo de dilectione dei","W1571","A4739"
"de spiritali amicitia","W1584","A4739"
"sermones i  - clxxxii","W1580","A4739"
"chartula de ludouici imperatoris poenitentia","W1700","A4476"
"de cauendo conuictu et societate iudaica","W1671","A4476"
"de grandine et tonitruis","W1669","A4476"
"aduersum dogma felicis","W1685","A4476"
"aduersus legem gundobadi","W1692","A4476"
"de antiphonario","W1688","A4476"
"de baptismo mancipiorum iudaeorum","W1697","A4476"
"de diuinis sententiis contra iudicium dei","W1680","A4476"
"de diuisione imperii","W1687","A4476"
"de fidei ueritate et totius boni institutione","W1694","A4476"
"de iudaicis superstitionibus et erroribus","W1686","A4476"
"de modo regiminis ecclesiastici","W1693","A4476"
"de quorundam inlusione signorum","W1684","A4476"
"de spe et timore","W1690","A4476"
"liber apologeticus","W1699","A4476"
"contra libros quattuor amalarii","W1727","A4476"
"contra obiectiones fredegisi","W1675","A4476"
"de iniustitiis","W1729","A4476"
"de picturis et imaginibus","W1701","A4476"
"de priuilegio apostolicae sedis","W1728","A4476"
"de priuilegio et iure sacerdotii","W1704","A4476"
"historia francorum: continuatio sancti germani parisiensis  (1125-1167)","W2943","A5439"
"ars de orthographia","W3388","A4548"
"epicedium hathumodae","W4094","A5443"
"versus computistici","W4099","A5443"
"cosmographia","W4930","A5417"
"compendium speculi caritatis","W5069","A4739"
"de iesu puero duodenni","W5072","A4739"
"liber pontificalis ecclesiae rauennatis","W5178","A5470"
"de dispensatione ecclesiasticarum rerum","W1732","A4476"
"anticlaudianus","W1124","A4458"
"iurisprudentia","W4010","A3661"
"de lucretia","W4028","A3564"
"oratio","W5271","A3679"
"carmina","W14","A3614"
"orationes","W27","A3614"
"epistulae ad ciceronem seruatae cum ciceronis epistulis ad brutum","W146","A3563"
"grammatica","W278","A3550"
"miracula sanctorum waldeberti et eustasii luxoviensia","W590","A5551"
"miracula sancti mansueti tullensis","W607","A5551"
"vita sancti frodoberti","W603","A5551"
"grammatica","W604","A3649"
"de ortu et tempore antichristi","W595","A5551"
"vita bercharii","W621","A5551"
"vita sancti basoli","W628","A5551"
"oratio","W735","A3660"
"historiarum libri iii (-1028)","W1271","A5415"
"grammatica, fragmenta","W1401","A3628"
"gesta hammaburgensis ecclesiae pontificum","W1443","A5420"
"de locis sanctis","W1658","A5424"
"iurisprudentia, fragmenta","W1827","A3626"
"carmina","W1902","A3659"
"de nuptiis","W1936","A3598"
"carmen","W2508","A3651"
"in aristotelis de diuinatione per somnum","W2692","A4199"
"in aristotelis de somniis","W2671","A4199"
"in aristitotelis de somno et uigilia","W2690","A4199"
"fragmentum","W2780","A3640"
"oratio","W2848","A3662"
"comoediarum fragmenta","W3253","A3570"
"tragoediae","W3453","A3631"
"versus pupio attributi","W3471","A3646"
"praetextae","W3432","A3631"
"tragoediae","W3543","A3617"
"iurisprudentia","W3535","A3637"
"de disciplina etrusca, frr.","W3790","A3639"
"oratio","W3915","A3655"
"oratio","W4013","A3661"
"grammatica","W4006","A3564"
"decretum de electione romani pontifici deusdedit","W4308","A5332"
"epistola ad gordianum hispaliensem episcopum","W4314","A5332"
"oratio","W4357","A3634"
"ars (dub.)","W4493","A3643"
"grammatica","W4500","A3643"
"liber regularum, fragmentum","W4958","A3678"
"chronicon","W5096","A5415"
"carmen","W5111","A3636"
"historiae (dub.)","W3816","A5139"
"carmina","W5368","A3619"
"epistula ad philippenses","W5369","A3808"
"grammatica, fragmentum","W5329","A3718"
"carmina","W5296","A3667"
"versus in vergilium","W119","A3648"
"grammatica, fragmenta","W249","A3653"
"fragmenta","W414","A3857"
"grammatica, fragmenta","W428","A3629"
"historiae","W720","A3684"
"orationes","W1094","A3633"
"fragmentum","W1231","A3715"
"oratio","W1362","A3630"
"grammatica, fragmenta","W1371","A3674"
"carmen","W1653","A3638"
"de annis populi romani","W1726","A3693"
"catalogus romanorum pontificum [ex canonem paschalem]","W1871","A4233"
"carmina","W1874","A3702"
"liber bene dictorum, frr. duo","W1868","A3657"
"oratio","W1899","A3654"
"carmen","W2075","A3642"
"aduersus haereses seu detectio et euersio falso cognominatae gnoseos","W2359","A4122"
"expositio metrica (dub.)","W2386","A3146"
"expositio et scholia in epodon librum (dub.)","W2410","A3146"
"expositio in carmina (dub.)","W2380","A3146"
"scholia in de arte poetica (dub.)","W2389","A3146"
"scholia in epistulas (dub.)","W2407","A3146"
"vita ii (dub.)","W2384","A3146"
"expositio in carmen saeculare (dub.)","W2416","A3146"
"scholia in sermones (dub.)","W2413","A3146"
"epistula i ad corinthios","W2807","A3946"
"de re rustica scripta","W2862","A3612"
"grammatica fragmenta","W3243","A3680"
"liber orsiesii e graeco uersus","W3288","A3848"
"carmina","W3484","A3677"
"carmen","W3637","A3690"
"comment. in ter. sall. verg.","W3672","A3721"
"vergilius","W3679","A3721"
"annales","W3881","A3632"
"grammatica, fragmenta","W3963","A3658"
"iurisprudentia, fragmenta","W4061","A3663"
"versio latina iliados","W4109","A3699"
"historiae","W4116","A3641"
"adumbrationes in epistulas canonicas","W4303","A3937"
"fragmenta a morel omissa","W4453","A3619"
"epigramma","W4491","A3711"
"orationes","W5029","A3627"
"satura","W5075","A3645"
"ars grammatica","W5174","A3857"
"vita i (dub.)","W2375","A3146"
"regula ad monachos","W2852","A4279"
"de perfectione in spiritu","W382","A4294"
"homiliae","W393","A4294"
"expositio symboli","W5330","A4757"
"praefationes in libros origenis periarchon","W5333","A4757"
"de paenitentia","W191","A4250"
"apophthegmata","W338","A4294"
"de custodia cordis","W315","A4294"
"de libertate mentis","W332","A4294"
"de charitate","W345","A4294"
"de elevatione mentis","W322","A4294"
"de paenitentia et discretione","W373","A4294"
"de oratione","W425","A4294"
"de catholicis","W1115","A4258"
"passio leudegarii ep. augustodunensis i","W1187","A4244"
"liber medicinalis","W1500","A4238"
"liber medicinalis, capitula","W1528","A4238"
"argumento calculandi","W1832","A4233"
"vita horati","W2430","A4290"
"de ligno crucis","W2406","A4224"
"commentum in horati epistulas","W2418","A4290"
"commentum in horati carmina","W2441","A4290"
"commentum in horati epodos","W2459","A4290"
"de litteris, de metris, de syllabis","W2447","A4253"
"commentum in horati sermones","W2465","A4290"
"selecta thedosii de religione decreta","W2672","A4232"
"in libros historiarum eusebii","W3279","A4757"
"de adulteratione librorum origenis","W3321","A4757"
"apologia (contra hieronymum)","W3316","A4757"
"epilogus in origenis in epistulam pauli ad romanos explanationum libros","W3304","A4757"
"praefatio in gregorii nazianzeni orationes ix","W3320","A4757"
"praefatio in origenis in epistulam pauli ad romanos explanationum libros","W3302","A4757"
"praefatio in sexti sententias","W3307","A4757"
"prologus in adamantii (origenis) libros quinque aduersus haereticos","W3318","A4757"
"de gregorio thaumaturgo","W3328","A4757"
"praefatio in homilias sancti basilii","W3324","A4757"
"prologus in apologeticum pamphili martyris pro origene","W3359","A4757"
"prologus in origenis homilias in psalmos xxxvi  - xxxviii","W3352","A4757"
"prologus in regulam sancti basilii","W3360","A4757"
"institutiones oratoriae","W3534","A4264"
"codex theodosianus","W3644","A4281"
"de concubitu martis et veneris","W4512","A4305"
"prologus in homilias origenis super iesum naue","W4961","A4757"
"artes grammaticae","W5112","A4258"
"prologus in clementis recognitiones","W3365","A4757"
"prologus in homilias origenis super numeros","W3344","A4757"
"cento","W660","A4231"
"de aucupio","W298","A4347"
"opus agriculturae","W4907","A4315"
"junius mensis","W5388","A4315"
"explanatio in bucolica vergilii","W5275","A5589"
"de figuris sententiarum et elocutionis","W5247","A4374"
"breviarum de victoriis et provinciis populi romani ad valemtem augustum.","W5263","A4275"
"eclogae siue bucolica","W270","A4347"
"cynegetica","W306","A4347"
"de nugis philosophorum","W432","A4312"
"de orthographia fragmentum","W601","A4286"
"de schematis lexeos","W788","A4374"
"de schematis diaoneas","W807","A4374"
"ars rhetorica","W1288","A4383"
"tractatus prophetarum osee, iohel et amos","W1629","A4392"
"vita vergilii","W1637","A5589"
"libri iv ad turbantium","W1661","A4392"
"theodori mopsuesteni expositionis in psalmos iuliano aeclanensi interprete in latinum uersae quae supersunt","W1665","A4392"
"de insitione","W1654","A4315"
"brevis expositio vergilii georgicorum","W1664","A5589"
"de b muta et v vocali","W1879","A4350"
"oratio","W2069","A4293"
"eucharisticos","W2063","A4293"
"epigramma seu de peruersis suae aetatis moribus","W2311","A4278"
"commentum in horati carmen saeculare","W2433","A4290"
"commentum in horati artem poeticam","W2424","A4290"
"de vita sua","W2663","A5583"
"commentum artis donati","W2769","A4284"
"scholia ariana in concilium aquileiense: palladi ratiarensis fragmenta","W2936","A5592"
"epigramma","W3160","A4323"
"de metris","W3192","A4323"
"de compendiosa doctrina","W3847","A4349"
"carmen ad augustinum","W3965","A4406"
"aprilis mensis","W4897","A4315"
"december mensis","W4892","A4315"
"februarius mensis","W4896","A4315"
"julius mensis","W4905","A4315"
"maius mensis","W4889","A4315"
"martius mensis","W4893","A4315"
"november mensis","W4898","A4315"
"januarius mensis","W4901","A4315"
"augustus mensis","W4902","A4315"
"september mensis","W4888","A4315"
"october mensis","W4903","A4315"
"vita caesarii ep. arelatensis. liber ii","W5002","A4277"
"epistulae","W5056","A4392"
"expositio libri iob","W5059","A4392"
"de veterinaria medicina liber","W5055","A4315"
"commentum terentii: andria","W2706","A4436"
"de aetatibus mundi et hominis","W5366","A4434"
"de comoedia, uel de fabula","W5358","A4429"
"de martyrio maccabeorum (dub.)","W5291","A4481"
"vita rusticulae sive marciae abb. arelatensis","W15","A4409"
"epistulae","W120","A4394"
"hermae pastor","W121","A4382"
"excerpta ex commento in primum ciceronis librum de inuentione","W259","A4425"
"disputatio de somnio scipionis","W710","A4421"
"breuissima adunationis ratio uerbi dei ad propriam carnem","W738","A4377"
"libellus fidei","W725","A4377"
"professio breuissima catholicae fidei","W728","A4377"
"responsio aduersus epistulam hormisdae","W734","A4377"
"capitula contra nestorianos et pelagianos","W744","A4377"
"dialogus contra nestorianos","W751","A4377"
"responsio contra acephalos","W741","A4377"
"altercatio legis inter simonem iudaeum et theophilum christianum","W1125","A4444"
"sententiae","W1108","A4444"
"disputatio de nestorianis et eutychianis","W1393","A4356"
"epistola ad cives duos","W1355","A4442"
"excerptum ex gregorio turonensis","W1394","A4442"
"libellus fidei apud uictorem uitensem seruatus","W1398","A4442"
"epistula ad magistratum quendam apud uictorem uitensem seruata","W1391","A4442"
"epistola ad sanctum nicetium","W1530","A4418"
"commentarius in canticum canticorum","W1663","A4392"
"de bono constantiae","W1650","A4392"
"dicta in quadam disputatione publica","W1651","A4392"
"sermo de confusione diaboli et inferni","W1691","A4415"
"grammatica","W2304","A4459"
"carmen de evangelio (dub.)","W2398","A4481"
"metrum in genesis (in genesin ad leonem papam) (dub.)","W2429","A4481"
"commentum terentii: eunuchus","W2714","A4436"
"commentum terentii: hecyra","W2750","A4436"
"de trinitate","W2749","A5573"
"commentum terentii: adelphoe","W2757","A4436"
"commentum terentii: heautontimorumenos","W2775","A4436"
"commentum terentii: phormio","W2788","A4436"
"confessio fidei","W2774","A5573"
"in codicem canonum et constitutorum eccleasiae romanae recepta","W2793","A5573"
"sermo: 'dicimus, prudentissimi fratres, quod nostrae dignatur pusillitati' etc.","W2946","A4412"
"commentarii in euangelia","W3011","A4430"
"artis rhetoricae","W3514","A4445"
"ars rhetorica","W3673","A5570"
"ars de uerbo","W3896","A4424"
"epistula ad ambrosianum mediolanensem","W3960","A4446"
"mythologiarum libri tres","W4277","A4434"
"expositio sermonum antiquorum","W4304","A4434"
"expositio virgilianae continentiae secundum philosophos moralis","W4310","A4434"
"homilia de passione domini","W4994","A5573"
"epistula pro custodienda catholica fide apud gregorium turonensem seruata","W5086","A4442"
"bellum geticum","W4132","A4503"
"fescennina dicta honorio augusto et mariae","W4134","A4503"
"fragmentum incertum incertae sedis in libro de dubiis sermonibus seruatum","W4102","A4503"
"panegyricus dictus honorio augusto sextum consuli","W4133","A4503"
"ars grammatica","W5224","A4521"
"epistula ad episcopos prouinciae lugdunensis","W228","A4527"
"ars grammatica","W444","A4483"
"commentarii vergiliani","W1303","A4491"
"de tropis","W1329","A4491"
"de barbarismo","W1331","A4491"
"de ceteriis vitiis","W1352","A4491"
"de metaplasmo","W1340","A4491"
"interpretationes virgilianae","W1336","A4491"
"de schematibus","W1344","A4491"
"de solecismo","W1369","A4491"
"de reditu suo","W1343","A4453"
"itinerarium","W1367","A4453"
"disticha","W2421","A4479"
"de nuptiis philologiae et mercurii","W2476","A4501"
"de barbarismis et metaplasmis","W2532","A5569"
"de nomine et uerbo","W2537","A5569"
"carmen de laude anastasii imperatoris","W3390","A4498"
"de accentibus","W3414","A4498"
"de praeexercitamina","W3385","A4498"
"epistula ad symmachum","W3389","A4498"
"institutio de nomine et pronomine et uerbo","W3413","A4498"
"institutiones grammaticae","W3400","A4498"
"periegesis","W3384","A4498"
"de figuris numerorum","W3401","A4498"
"de metris fabularum terentii","W3405","A4498"
"partitiones xii uersuum aeneidos principalium","W3404","A4498"
"panegyricus dictus honorio augusto quartum consuli","W4078","A4503"
"carminum minorum uel spuriorum uel suspectorum appendix","W4117","A4503"
"de bello gildonico","W4091","A4503"
"de laudibus stilchonis","W4115","A4503"
"de raptu proserpinae","W4090","A4503"
"in rufinum","W4119","A4503"
"panegyricus dictus olybrio et probino consulibus","W4118","A4503"
"carmina minora uel potius miscellanea","W4106","A4503"
"de laudibus serenae reginae","W4104","A4503"
"in eutropium","W4113","A4503"
"panegyricus dictus mallio theodoro consuli","W4108","A4503"
"de bello pollentino","W4131","A4503"
"epithalamium dictum honorio augusto et mariae","W4130","A4503"
"carmina","W5061","A4489"
"epithalamium fridi","W5063","A4489"
"alethia","W5067","A4541"
"carmen paschale","W4137","A4503"
"de consulatu stilichonis","W4136","A4503"
"panegyricus dictus honorio augusto tertium consuli","W4138","A4503"
"carmina","W234","A4504"
"brevis ciborum, excerpta","W5297","A4543"
"de orthographia","W16","A4506"
"de verbis dubiis","W28","A4506"
"fragmenta de historia litterarum","W216","A4504"
"fragmenta grammatica","W238","A4504"
"menippeae","W237","A4504"
"annales","W244","A4504"
"antiquitates rerum divinarum","W220","A4504"
"de gente populi romani","W239","A4504"
"de lingua latina","W243","A4504"
"de vita populi romani","W218","A4504"
"epistulae latinae","W260","A4504"
"fragmenta varia","W242","A4504"
"logistorici","W255","A4504"
"res rusticae","W241","A4504"
"res urbanae","W246","A4504"
"antiquitates rerum humanarum","W286","A4504"
"epistulae","W285","A4504"
"incertae sedis fragmenta","W284","A4504"
"annales","W324","A4516"
"liber ad renatum monachum de fugiendo monialium colloquio et uisitatione","W608","A4520"
"epistula ad ossium","W1670","A4544"
"commentarius in platonis timaeum","W1695","A4544"
"ex graecis conversiones","W1730","A4544"
"carmina","W1891","A4532"
"carmen","W1931","A5567"
"historiae","W2035","A4538"
"liber ad c. oppium, fr.","W2039","A4538"
"libri de rebus sacris","W2102","A4522"
"grammatica","W2109","A4522"
"facta et dicta memorabilia","W2306","A4545"
"epigramma in ecclesia s. petri","W2358","A4510"
"de obseruatione ciborum epistula ad theodericum regem francorum","W2367","A4505"
"brevis pimentorum, excerpta","W2382","A4543"
"apologi","W2492","A4508"
"fabulae","W2470","A4508"
"carmina","W2827","A4535"
"palliatae","W3006","A4507"
"carmina","W3287","A4525"
"excerpta de scauri et palladii libris","W3386","A4530"
"de metris omnibus","W3670","A4514"
"de metris horatianis","W3710","A4514"
"exempla elocutionum ex vergilio, sallustio, terentio, cicerone digesta per litteras","W3776","A4540"
"dacica","W4323","A4528"
"de orthographia","W4318","A4513"
"historia romana","W4321","A4542"
"artis grammaticae libri v","W4287","A4524"
"tractatus in apocalypsin fragmenta quae supersunt","W4382","A4533"
"de re coquinaria","W2387","A4543"
"grammatica","W2436","A4584"
"milesiae","W614","A4572"
"grammatica","W192","A4579"
"carmen","W437","A4592"
"commentarii rerum gestarum","W418","A4560"
"tragoedia","W508","A4562"
"epigramma","W561","A4562"
"historiae","W645","A4572"
"carmina","W765","A4552"
"de notis iuris (dub.)","W1406","A4588"
"schemata lexeos","W1375","A4568"
"fragmenta","W1413","A4588"
"vita persii","W1446","A4588"
"compositiones","W1477","A4555"
"palliatae","W1519","A4585"
"carmina","W1822","A4550"
"de monita","W1991","A4582"
"epistulae ad paulum","W1975","A4582"
"carmina","W2352","A4589"
"tragoediae","W2445","A4584"
"annales","W2805","A4578"
"de animalibus","W2985","A4591"
"historiae philippicae","W2990","A4591"
"togatae","W3277","A4616"
"orationes","W3416","A4565"
"de vita sua","W3462","A4565"
"carmina","W3622","A4581"
"historiae","W3598","A4581"
"adelphoe (periocha)","W3614","A4569"
"andria (periocha)","W3621","A4569"
"eunuchus (periocha)","W3627","A4569"
"phormio (periocha)","W3619","A4569"
"grammatica","W3628","A4581"
"heauton timorumenos (periocha)","W3633","A4569"
"hexasticha in aeneidos libris","W3665","A4569"
"orationes","W3661","A4581"
"fabularum appendix","W3862","A4554"
"de vita sua","W3870","A4576"
"fabulae aesopiae","W3855","A4554"
"praetextae","W4030","A4573"
"tragoediae","W4037","A4573"
"de adverbio et praeposit.","W4328","A4574"
"carmen","W4319","A4563"
"de ordinatione partium orationis (dub.)","W4334","A4574"
"fr. in codice parisino 7520","W4373","A4574"
"de orthographia","W4368","A4574"
"hecyra (periocha)","W4948","A4569"
"annales","W5004","A4559"
"atellanae","W5187","A4571"
"grammatica","W5214","A4553"
"alia carmina epica","W1551","A4575"
"annales","W317","A4639"
"fr. dubium a morel omissum","W235","A4627"
"de familiis romanis","W5331","A4594"
"grammatica","W147","A4558"
"atellanae","W193","A4566"
"carmina","W256","A4627"
"de metatione (uel munitionibus) castrorum (dub.)","W346","A4606"
"epigramma in ciceronis obitum","W299","A5562"
"orationes","W329","A4600"
"de limitibus","W340","A4606"
"oratio","W325","A4639"
"ilias","W1480","A4567"
"atellanae","W1485","A4549"
"bellum punicum","W1561","A4575"
"carmina, frr. a morel omissa","W1567","A4575"
"palliatae","W1578","A4575"
"praetextae","W1604","A4575"
"tragoediae","W1612","A4575"
"versus in metellos (dub.)","W1620","A4575"
"oratio","W1660","A4595"
"carmina","W1679","A5566"
"fragmentum a morel omissum","W1705","A5566"
"carminum fragmenta","W1806","A5565"
"astronomica","W1825","A5565"
"mimi","W1944","A4620"
"epigrammata","W1960","A5560"
"communes historiae","W1976","A5560"
"grammatica","W2440","A4583"
"tragoediae","W2451","A4613"
"odyssia","W2500","A4613"
"palliatae","W2505","A4613"
"assis distributio ...","W2525","A4610"
"carmina","W2861","A4633"
"fragmentum a morel omissum","W2866","A4633"
"orationes","W3077","A4586"
"carmina","W3073","A4586"
"de auspiciis","W3310","A4594"
"saturarum fragmenta","W3415","A4618"
"vitae","W3412","A4557"
"de silvestribus arboribus","W3461","A4557"
"carminum fragmenta","W3530","A4596"
"orationes","W3538","A4596"
"palliatae","W3815","A4649"
"palliatae","W3805","A4625"
"de chorographia","W3840","A4607"
"epigramma","W4026","A4573"
"grammatica","W4127","A4564"
"carmina","W5189","A4634"
"elegiae una cum tibulli carminibus traditae","W1304","A4614"
"epigrammata","W3900","A4612"
"epistulae ab a. hirtio","W148","A4622"
"liber apotheosis","W2835","A4609"
"commentarius de bello alexandrino","W170","A4622"
"de bello gallico liber viii","W149","A4622"
"constitutio limitum (dub.)","W320","A4606"
"de condicionibus agrorum","W328","A4606"
"de generibus controversiarum","W302","A4606"
"carmina","W337","A4648"
"cynegetica","W417","A4624"
"annales","W602","A4636"
"ad m. caesarem et invicem","W787","A4605"
"ad verum imp. epistulae","W756","A4605"
"additamentum epist. aceph.","W760","A4605"
"arion","W769","A4605"
"de eloquentia","W754","A4605"
"de feriis alsiensibus","W759","A4605"
"laudes fumi et pulveris","W790","A4605"
"laudes neglegentiae","W757","A4605"
"annales","W762","A4603"
"ad amicos epistulae","W825","A4605"
"ad antoninum pium epistulae","W770","A4605"
"ad m. antoninum imp. epist.","W778","A4605"
"carmina","W775","A4605"
"de bello parthico","W785","A4605"
"de orationibus","W772","A4605"
"fragmenta","W779","A4605"
"de nepote amisso","W826","A4605"
"principia historiae","W821","A4605"
"in statii thebaida commentum","W1264","A4599"
"bellum histricum","W1505","A5564"
"carmina","W2766","A4632"
"orationes","W2768","A4632"
"epilogus","W2829","A4609"
"liber cathemerinon","W2842","A4609"
"praefatio operum","W2799","A4609"
"contra symmachum libri duo","W2819","A4609"
"de opusculis suis prudentius","W2803","A4609"
"psychomachia","W2808","A4609"
"tituli historiarum siue dittochaeon","W2832","A4609"
"amartigenia","W2845","A4609"
"liber peristefanon","W2846","A4609"
"carmina","W3572","A5561"
"aratea","W3919","A4612"
"fragmenta aratea","W3938","A4612"
"elegia","W4285","A4626"
"elegia in pap. qasr ibrim","W4311","A4626"
"annales","W4317","A4617"
"narrationes fabularum ovidianarum","W5102","A4599"
"epistulae ad anulinum","W2935","A4611"
"epistula ad miltiadem et ad marcum","W5310","A4611"
"praetextae","W5233","A4631"
"saturae","W5234","A4631"
"de verborum significatione","W150","A4628"
"carmina","W319","A4637"
"epigrammata ex bobiensibus","W327","A4637"
"epistula, fragmenta","W460","A4684"
"grammatica","W499","A907"
"iurisprudentia","W560","A907"
"annales","W583","A4631"
"tragoediae","W581","A4631"
"varia","W627","A4631"
"incerta","W631","A4631"
"palliatae","W637","A4631"
"iurisprudentia","W1029","A4678"
"incertorum librorum fragmenta","W1060","A4678"
"origines","W1079","A4678"
"orationes","W1100","A4678"
"commentariolum petitionis (dub.)","W1243","A4668"
"carmina","W1262","A4668"
"carmina, fragmenta","W1591","A4653"
"grammatica","W1624","A5563"
"annales","W2340","A4608"
"de rerum natura","W2399","A4623"
"grammatica","W2444","A4598"
"annales","W2591","A4675"
"annales","W2649","A4635"
"iuris pontificis libri","W2620","A4635"
"orationes","W2792","A4621"
"historiae","W2784","A4621"
"decreta et constitutiones","W2855","A4611"
"edictum mediolani","W2860","A4611"
"epistula ad omnes qui ab consilio aberat","W2859","A4611"
"commentarii","W2876","A4611"
"epistula ad chrestum","W2873","A4611"
"ad synodum in palatio habitam oratio de pace","W2904","A4611"
"epistolae","W2892","A4611"
"epistula ad caecilianum","W2901","A4611"
"oratio ad sanctorum coetum","W2938","A4611"
"epistula de iure civitatis orcistenorum","W2929","A4611"
"carmina","W3611","A4645"
"historiae alexandri magni","W3812","A4602"
"de agrorum qualitate","W3959","A4597"
"de aquis urbis romae","W3944","A4597"
"de arte mensoria","W3949","A4597"
"strategemata","W3957","A4597"
"de controversiis","W3977","A4597"
"de limitibus","W3984","A4597"
"epistula ad porfyrium","W4983","A4611"
"anticato","W4437","A4644"
"de compositionibus (dub.)","W4004","A4680"
"orationes","W1890","A4671"
"poeticae species lat. (dub.)","W5355","A4680"
"historiae belli punici","W5345","A4641"
"rerum gestarum libri","W5260","A4677"
"epistulae ad ciceronem et atticum seruatae cum ciceronis epistulis ad brutum","W151","A3563"
"togatae","W362","A4673"
"de agri cultura, fragmenta","W1116","A4678"
"epistulae","W1114","A4678"
"de medicina","W1092","A4678"
"carmen de moribus","W1128","A4678"
"de re militari","W1098","A4678"
"de rhetorica","W1127","A4678"
"dicta memorabilia","W1133","A4678"
"de agri cultura","W1134","A4678"
"palliata, fragmenta","W1484","A4661"
"togatae","W1520","A4667"
"epigramma","W1533","A4667"
"expositio et ratio omnium formarum","W1655","A4647"
