"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"historia caesaris","W3067","A5703"
"carmina","W3041","A3106"
"epistola ad palchonium de reliquiis sancti stephani","W2961","A3131"
"edictum de confirmatione concilii toletani","W2682","A3081"
"carmen bucolicum de virtute signi crocis domini","W2585","A3070"
"apologia evangeliorum adversus theostenem ethnicum (fragmentum)","W2490","A3103"
"fragmenta","W2325","A3089"
"de iudaeis","W2068","A5697"
"carmina","W2076","A3109"
"dies irae","W2052","A3076"
"commentarii bruti","W1978","A5693"
"acta","W1962","A3052"
"vita alexandri severi","W1917","A3074"
"vita alexandri severi","W1888","A3082"
"carmina","W1523","A3118"
"historicum fragmentum","W1266","A3047"
"epistula ad eucherium lugdunensem‏","W1208","A3095"
"fragmenta","W763","A3141"
"historia","W267","A3080"
"magistratum","W155","A3066"
"anthologia latina xx","W172","A3044"
"annales","W156","A3066"
"burra","W5353","A5688"
"vita","W400","A5683"
"phaedrus","W1473","A5668"
"epistola ad desiderium","W2080","A3060"
"fragmenta","W2953","A5684"
"medea","W3508","A3051"
"regula ad monachos","W4337","A3062"
"de vita imperatorum","W2363","A5682"
"de podagra","W3495","A3122"
"epistola cypriani ad lucium papam","W4462","A5691"
"epistola ad galliae atque hispaniae episcopos","W4457","A5691"
"decreta ex gratiano desumpta","W4444","A5691"
"psalmi et hymni","W4471","A3094"
"anecdotes historiques, le ́gendes et apologues","W4301","A3128"
"apospasmaton de rebus emeritensibus ex hispania antiqua","W4111","A3107"
"de re medicina","W3906","A5671"
"fragmenta (tripertita)","W3854","A3093"
"versus paschales prosodici (edyll. i)","W3803","A3102"
"hymni","W3795","A5680"
"carmina","W3774","A3104"
"chronicum [apologia ad lectorem]","W3600","A3114"
"in prophetiam danielis de quattuor animalibus","W3607","A3114"
"apologeticus contra recentes impugnatorem","W3561","A3114"
"orationes","W3566","A3148"
"chronicon omnimodae historiae","W3567","A3114"
"carmina","W3502","A3145"
"epistola ad omnem ecclesiam","W3477","A3126"
"de situ terrae sanctae","W3315","A3115"
"historiae","W3299","A5694"
"explanationem in artem donatem","W3218","A3135"
"decretum de ecclesia toletana","W2963","A5692"
"epistolae quae ad sixtum ii attinent","W2804","A3119"
"iuriprudentia","W2666","A3111"
"historiae","W2484","A3108"
"historiae","W2442","A3098"
"historia praedestinatiana quibus initiis exorta","W2079","A5674"
"grammatica?","W1984","A5685"
"carmina","W1884","A3132"
"malleus maleficarum","W1588","A5676"
"de contemptu saeculi","W1428","A3085"
"epistola consolatoria ad arcadium","W1334","A3105"
"epistola ad siricum papam","W1297","A5673"
"iurisprudentia","W1121","A3099"
"vita operaque [ex labbaeo]","W780","A3134"
"carmina","W451","A3083"
"epistola ad leonem papam","W464","A3079"
"vitae","W173","A3087"
"epistola ad senarium virum illustrem","W126","A3113"
"oratio","W127","A3138"
"carmina","W95","A5687"
"summarii temporum","W5270","A3101"
"carmina","W1908","A3124"
"epistolae dubiae (dub.)","W2765","A3119"
"laudes thraseae paeti","W2955","A3090"
"historiae","W4095","A3092"
"disputatio de rhetorica et de virtutibus","W1750","A3139"
"christus xilonicus","W5180","A5666"
"mamertini pro consulatu gratiarum actio juliano augusto","W5080","A3505"
"in decem libros priores elementorum euclides commentari","W5039","A2491"
