Title,DLL Identifier,VIAF Source
"Jacopone, da Todi, 1230-1306",A3049,http://viaf.org/viaf/54194694
"Colle, Bartolomeo da",A3046,http://viaf.org/viaf/649152636063820050427
"Capitolinus, Julius, active 300",A3038,http://viaf.org/viaf/247904680
Agrestius,A3042,http://viaf.org/viaf/280609796
"Wamba, King of the Visigoths, -687",A3061,http://viaf.org/viaf/10252930
"Acilius Glabrio, Manius, approximately 55-95",A3041,http://viaf.org/viaf/60956827
"Campesani, Benvenuto ca. 1220/25-1323/24",A3039,http://viaf.org/viaf/57679937
"Della Casa, Giovanni, 1503-1556",A3040,http://viaf.org/viaf/71528487
"Theodosius, active 6th century",A3115,http://viaf.org/viaf/297718579
"Vestricius Spurinna, Titus ca. 1st century",A3085,http://viaf.org/viaf/2858526
Proterius Alexandrinus 454,A3079,http://viaf.org/viaf/7775434
"Dexter, Flavius Lucius 368-444",A3114,http://viaf.org/viaf/20019638
Bonosus Poeta 5th or 5th/6th century,A3083,http://viaf.org/viaf/24990229
Rusticus Presbyter 5th century,A3095,http://viaf.org/viaf/29921063
Tanusius Geminus 1st century?,A3080,http://viaf.org/viaf/29921085
Titius Aristo 1st/2nd century,A3086,http://viaf.org/viaf/37305086
Valens Mursiensis 430,A3084,http://viaf.org/viaf/44693035
Pompeius Planta 1st century,A3112,http://viaf.org/viaf/47153151
Trebellius Pollio ca. 3rd/4. century,A3091,http://viaf.org/viaf/47569598
Stephanus Abbas 4. or 6th century,A3062,http://viaf.org/viaf/66855706
"Haslob, Michael 1540-1589",A3096,http://viaf.org/viaf/77130824
"Rekared II. King of the Visigoths, King -621",A3081,http://viaf.org/viaf/89887759
Cornelius Capitolinus,A3097,http://viaf.org/viaf/177170095
Eucolpius ca. 3rd century,A3082,http://viaf.org/viaf/186155006
Rubellius Blandus,A3071,http://viaf.org/viaf/305392569
"Clodius Thrasea Paetus, Publius -66",A3075,http://viaf.org/viaf/4636148037708488350007
"Catiline, approximately 108 B.C.-62 B.C.",A3072,http://viaf.org/viaf/84032760
"Pompilius, Paulus, 1454?-1491?",A3069,http://viaf.org/viaf/197576585
"Cassius Longinus, Gaius, active 54 B.C.-42 B.C.",A3116,http://viaf.org/viaf/25397785
"Chrestien, Florent, 1541-1596",A3133,http://viaf.org/viaf/27094698
"Lampridius, Aelius",A3117,http://viaf.org/viaf/30344893
"Sixtus II, Pope, -258",A3119,http://viaf.org/viaf/1336166
"Stigel, Johann, 1515-1562",A3104,http://viaf.org/viaf/15204756
"Tamayo de Vargas, Tomás, 1588-1641",A3107,http://viaf.org/viaf/27415711
Samuel Aniensis -1179,A3101,http://viaf.org/viaf/2823954
Fabius Rusticus,A3092,http://viaf.org/viaf/5947595
Bruttius,A3098,http://viaf.org/viaf/7774697
Aelius Iunius Cordus 3rd century,A3087,http://viaf.org/viaf/10235865
Calbulus Poeta 5th or 5th/6th century,A3102,http://viaf.org/viaf/12693523
Antoninus Honoratus 437,A3105,http://viaf.org/viaf/17613833
"Coruncanius, Tiberius 254?-243?",A3099,http://viaf.org/viaf/24990199
"Iunius Arulenus Rusticus, Quintus -93",A3090,http://viaf.org/viaf/27455542
Eucheria ca. 6th/7th century,A3088,http://viaf.org/viaf/34811444
Magnetes,A3103,http://viaf.org/viaf/37257036
Florentinus Poeta 5th or 5th/6th century,A3106,http://viaf.org/viaf/37304382
"Ampius Balbus, Titus 1st century?",A3100,http://viaf.org/viaf/44692238
Cato Africanus 5th century,A3078,http://viaf.org/viaf/64395514
Aemilius Parthenianus,A3110,http://viaf.org/viaf/172627752
"Madvig, J. N. (Johan Nikolai), 1804-1886",A3149,https://viaf.org/viaf/49356879
"Hansy, Théodore de, -1771",A3150,https://viaf.org/viaf/14823660
"Biel, Gabriel, -1495",A3151,https://viaf.org/viaf/19692948
"Alexander, of Tralles, approximately 525-approximately 605",A3120,http://viaf.org/viaf/79139373
"Cereta, Laura, 1469-1499",A3125,http://viaf.org/viaf/35281942
"Corbulo, Gnaeus Domitius, -67",A3123,http://viaf.org/viaf/73382755
"Galba, Servius Sulpicius, Emperor of Rome, 3 B.C.-69 A.D.",A3147,http://viaf.org/viaf/27034761
"Gentili, Scipione, 1563-1616",A3130,http://viaf.org/viaf/76326909
"Mark, Pope, -336",A3134,http://viaf.org/viaf/63537794
"Rufus, of Ephesus",A3122,http://viaf.org/viaf/42630594
"Scheffer, Johannes Reichard, active approximately 1580",A3132,http://viaf.org/viaf/67284337
"Sergius, the Grammarian, active 515-517",A3135,http://viaf.org/viaf/77945772
"Stephanus, de Borbone, -approximately 1261",A3128,http://viaf.org/viaf/9882498
Johannes Diaconus Romanus ca. 5th/6th century,A3113,http://viaf.org/viaf/5321164
Vipstanus Messalla 1st century,A3108,http://viaf.org/viaf/7775554
"Cosconius, Quintus 1st century?",A3111,http://viaf.org/viaf/27455245
"Felix, Flavius 5th or 5th/6th century",A3109,http://viaf.org/viaf/32386239
Avitus Bracarensis -440,A3131,http://viaf.org/viaf/52080947
"Decimator, Heinrich 1544-1615",A3118,http://viaf.org/viaf/55085501
"Alcimus Alethius, Latinus 355",A3127,http://viaf.org/viaf/59475555
"Kukuljević Sakcinski, Ivan, 1816-1889",A3174,https://viaf.org/viaf/54135913
"Grégoire, L. (Louis), 1819-1897",A3154,https://viaf.org/viaf/34548025
"Sanderson, Robert, 1660-1741",A3175,https://viaf.org/viaf/88067515
"Quentell, Heinrich, -1501",A3172,https://viaf.org/viaf/85045558
"Rački, Franjo, 1828-1894",A3155,https://viaf.org/viaf/39506292
"Archestratus, of Gela",A3161,http://viaf.org/viaf/264689708
"Georgius, of Cyprus, active 600",A3152,http://viaf.org/viaf/11456841
"Abercius, Saint, Bishop of Hierapolis, -approximately 200",A3156,http://viaf.org/viaf/75854919
"Paulus, Aegineta",A3153,http://viaf.org/viaf/84812936
"Porphyry, approximately 234-approximately 305",A3136,http://viaf.org/viaf/64016141
"Antonius, monk, disciple of Simeon Stylites, active 470",A3129,http://viaf.org/viaf/13960566
"Flavianus, Remmius",A3137,http://viaf.org/viaf/63061728
"Gaunilo, active 11th century",A3121,http://viaf.org/viaf/305863197
Hegemonius,A3143,http://viaf.org/viaf/267670410
"Lucian, of Antioch, Saint, -312",A3126,http://viaf.org/viaf/198059759
"Map, Walter, active 1200",A3140,https://viaf.org/viaf/98031958
"Melissus, Paulus, 1539-1602",A3124,http://viaf.org/viaf/89425654
"Plancus, Lucius Munatius",A3138,http://viaf.org/viaf/48517486
"Pompey, the Great, 106 B.C.-48 B.C.",A3148,http://viaf.org/viaf/6224297
"Scultetus, Tobias, 1563-1620",A3145,http://viaf.org/viaf/76127564
"Wesele Scholten, Benjamin Petrus van, 1762-1829",A3206,https://viaf.org/viaf/55216734
"Bonnell, Eduard, 1802-1877",A3203,https://viaf.org/viaf/64244840
"Richter, Gustav, 1838-1904",A3177,https://viaf.org/viaf/36058860
"Wunsch, Richard, 1869-1911",A3168,https://viaf.org/viaf/62341947
"Janssonius van Waesberge, Johannes, active 1642-1681",A3157,https://viaf.org/viaf/37131838
"Frédéricq, Paul, 1850-1920",A3173,https://viaf.org/viaf/51821920
"Mignault, Claude, approximately 1536-1606",A3158,https://viaf.org/viaf/69038102
"Clein, Johann, -1530",A3176,https://viaf.org/viaf/99894343
