"author","deterministic_author"
"Baudouin, François, 1520-1573.","{'authorized_name': 'baudouin, françois, 1520-1573', 'author_id': 'A4124'}"
"Beccadelli, Antonio, 1394-1471","{'authorized_name': 'beccadelli, antonio, 1394-1471', 'author_id': 'A3024'}"
"Beccadelli, Antonio, 1394-1471.","{'authorized_name': 'beccadelli, antonio, 1394-1471', 'author_id': 'A3024'}"
"Bede, the Venerable, Saint, 673-735","{'authorized_name': 'bede, the venerable, saint', 'author_id': 'A5363'}"
"Bede, the Venerable, Saint, 673-735.","{'authorized_name': 'bede, the venerable, saint', 'author_id': 'A5363'}"
"Bembo, Pietro, 1470-1547","{'authorized_name': 'bembo, pietro, 1470-1547', 'author_id': 'A5607'}"
"Bembo, Pietro, 1470-1547.","{'authorized_name': 'bembo, pietro, 1470-1547', 'author_id': 'A5607'}"
"Benci, Francesco (S.I.), 1542-1594.","{'authorized_name': 'benci, francesco, 1542-1594', 'author_id': 'A4077'}"
"Benci, Francesco, 1542-1594","{'authorized_name': 'benci, francesco, 1542-1594', 'author_id': 'A4077'}"
"Benseler, Gustav Eduard, 1806-1868","{'authorized_name': 'benseler, gustav eduard, 1806-1868', 'author_id': 'A6182'}"
"Bergk, Theodor, 1812-1881.","{'authorized_name': 'bergk, theodor, 1812-1881', 'author_id': 'A3537'}"
"Bernard, of Chartres.","{'authorized_name': 'bernard, of chartres', 'author_id': 'A5392'}"
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}"
"Bernard, of Clairvaux, Saint, 1090 or 1091-1153.","{'authorized_name': 'bernard, of clairvaux, saint', 'author_id': 'A5377'}"
"Bernardino de Siena, Santo, 1380-1444.","{'authorized_name': 'bernardino, da siena, saint, 1380-1444', 'author_id': 'A4310'}"
"Bernoulli, Jakob, 1654-1705","{'authorized_name': 'bernoulli, jakob, 1654-1705', 'author_id': 'A4089'}"
"Bernoulli, Jakob, 1654-1705.","{'authorized_name': 'bernoulli, jakob, 1654-1705', 'author_id': 'A4089'}"
"Beroaldo, Filippo, 1453-1505","{'authorized_name': 'beroaldo, filippo, 1453-1505', 'author_id': 'A4095'}"
"Beroaldo, Filippo, 1453-1505.","{'authorized_name': 'beroaldo, filippo, 1453-1505', 'author_id': 'A4095'}"
"Bèze, Théodore de, 1519-1605","{'authorized_name': 'bèze, théodore de, 1519-1605', 'author_id': 'A4103'}"
"Bidermann, Jakob, 1577 or 1578-1639.","{'authorized_name': 'bidermann, jakob, 1577 or 1578-1639', 'author_id': 'A4158'}"
"Bidermann, Jakob, 1577-1639.","{'authorized_name': 'bidermann, jakob, 1577 or 1578-1639', 'author_id': 'A4158'}"
"Biel, Gabriel, d. 1495","{'authorized_name': 'biel, gabriel, -1495', 'author_id': 'A3151'}"
"Bissel, Johann, 1601-1682","{'authorized_name': 'bissel, johann, 1601-1682', 'author_id': 'A5611'}"
"Bissel, Johann, 1601-1682.","{'authorized_name': 'bissel, johann, 1601-1682', 'author_id': 'A5611'}"
"Blarru, Pierre de, 1437-1510.","{'authorized_name': 'blarru, pierre de 1437-1510', 'author_id': 'A4094'}"
"Boccaccio, Giovanni, 1313-1375.","{'authorized_name': 'boccaccio, giovanni, 1313-1375', 'author_id': 'A4348'}"
"Bodin, Jean , 1530-1596.","{'authorized_name': 'bodin, jean, 1530-1596', 'author_id': 'A4074'}"
"Bodin, Jean, 1530-1596.","{'authorized_name': 'bodin, jean, 1530-1596', 'author_id': 'A4074'}"
"Boethius, -524","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}"
"Boethius, -524.","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}"
"Boethius, d. 524","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}"
"Boethius, d. 524.","{'authorized_name': 'boethius, -524', 'author_id': 'A5469'}"
"Bona, Giovanni, 1609-1674.","{'authorized_name': 'bona, giovanni, 1609-1674', 'author_id': 'A4056'}"
"Bonaventure, Saint, Cardinal, approximately 1217-1274.","{'authorized_name': 'bonaventure, saint, cardinal, approximately 1217-1274', 'author_id': 'A4379'}"
"Bonfini, Antonio, 1427-1502.","{'authorized_name': 'bonfini, antonio, 1427-1502', 'author_id': 'A5608'}"
"Bordini, Giovanni Francesco, ca. 1536-1609.","{'authorized_name': 'bordini, giovanni francesco, approximately 1536-1609', 'author_id': 'A4092'}"
"Bovelles, Charles de.","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}"
"Bovillus, Carolus, 1479-1567.","{'authorized_name': 'bovillus, carolus, 1479-1567', 'author_id': 'A3712'}"
"Boxhorn, Marcus Zuerius, 1612-1653.","{'authorized_name': 'boxhorn, marcus zuerius, 1612-1653', 'author_id': 'A6026'}"
"Bracciolini, Poggio, 1380-1459.","{'authorized_name': 'bracciolini, poggio', 'author_id': 'A5554'}"
"Bracton, Henry de, -1268.","{'authorized_name': 'bracton, henry de, -1268', 'author_id': 'A3912'}"
"Brant, Sebastian, 1458-1521,","{'authorized_name': 'brant, sebastian, 1458-1521', 'author_id': 'A4064'}"
"Brasavola, Antonio Musa (1500-1555)","{'authorized_name': 'brasavola, a. m. (antonio musa)', 'author_id': 'A5459'}"
"Brasavola, Antonio Musa, 1500-1555.","{'authorized_name': 'brasavola, a. m. (antonio musa)', 'author_id': 'A5459'}"
"Bruni, Leonardo, 1369-1444.","{'authorized_name': 'bruni, leonardo, 1369-1444', 'author_id': 'A4123'}"
"Bruno, Giordano, 1548-1600.","{'authorized_name': 'bruno, giordano, 1548-1600', 'author_id': 'A4076'}"
"Bucer, Martin, 1491-1551.","{'authorized_name': 'bucer, martin, 1491-1551', 'author_id': 'A4304'}"
"Buchanan, George, 1506-1582","{'authorized_name': 'buchanan, george', 'author_id': 'A4730'}"
"Buchanan, George, 1506-1582.","{'authorized_name': 'buchanan, george', 'author_id': 'A4730'}"
"Bude, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}"
"Budé, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}"
"Budé, Guillaume, 1468-1540.","{'authorized_name': 'budé, guillaume, 1468-1540', 'author_id': 'A5600'}"
"Buecheler, Franz, 1837-1908","{'authorized_name': 'buecheler, franz, 1837-1908', 'author_id': 'A3585'}"
"Buecheler, Franz, 1837-1908.","{'authorized_name': 'buecheler, franz, 1837-1908', 'author_id': 'A3585'}"
"Buridan, Jean, 1300-1358.","{'authorized_name': 'buridan, jean, 1300-1358', 'author_id': 'A5584'}"
"Burman, Pieter, 1668-1741.","{'authorized_name': 'burman, pieter, 1668-1741', 'author_id': 'A6043'}"
"Bèze, Théodore de, 1519-1605.","{'authorized_name': 'bèze, théodore de, 1519-1605', 'author_id': 'A4103'}"
"Bēssariōn, Cardinal, 1403-1472","{'authorized_name': 'bēssariōn, cardinal, 1403-1472', 'author_id': 'A3305'}"
"Caesarius, of Heisterbach, approximately 1180-approximately 1240.","{'authorized_name': 'caesarius, of heisterbach, approximately 1180-approximately 1240', 'author_id': 'A5576'}"
"Calvin, Jean, 1509-1564.","{'authorized_name': 'calvin, jean, 1509-1564', 'author_id': 'A4225'}"
