"author","title","tokenized_title","matched_title_deterministic","matched_title_fuzzy","fuzzy_title_score"
"Rutilius Namatianus, Claudius, active 5th century.","De reditu suo libri II, accedunt Hadriani, Flori, Apuleii, Anniani, Sereni aliorumque saec. A.V.C.X. poetarum reliquiae; recensuit et praefatus est Lucianus Mueller.","['reditus', 'ii', 'accedo', 'hadrianus', 'flos', 'apuleius', 'annianus', 'serenus', 'alius', 'que', 'saec', 'poeta', 'reliquiae', 'recenseo', 'praefor', 'lucianus', '']","Unknown","de reditu suo","0.8695652173913043"
"Lucretius Carus, Titus","T. Lucretii Cari de rerum natura : libri sex / ad optimorum librorum, fidem edidit, perpetuam annotationem, criticam grammaticam et exegeticam adiecit Albertus Forbiger.","['lucretium', 'co', 'res', 'natura', 'sex', 'optimus', 'fides', 'edo', 'perpetuus', 'annotatio', 'criticus', 'grammaticus', 'exegeticus', 'adicio', 'albertus', 'forbiger']","Unknown","de rerum natura","1.0"
"Cicero, Marcus Tullius","De natura deorum libri tres. Codicibus Musei Britannici collatis sex recensuit, atque animadversionibus criticis instruxit Henricus Alanus, Hibernus.","['natura', 'deus', 'tres', 'codex', 'museum', 'britannicus', 'confero', 'sex', 'recenseo', 'animaduersio', 'criticus', 'instruo', 'henricus', 'alanus', 'hibernus']","Unknown","de natura deorum","0.896551724137931"
"Lucretius Carus, Titus","De rerum natura libri sex, quibus notas addidit Thomas Creech accedunt annotationes R. Bentleii, variae lectiones IV. edd. antiquissimarum neconon index locupletissimus.","['res', 'natura', 'sex', 'noto', 'addo', 'thomas', '', 'accedo', 'annotatio', 'bentleius', 'uarius', 'lectio', 'iv', 'eddus', 'antiquissimus', 'neconon', 'index', 'locupletis']","Unknown","de rerum natura","0.8888888888888888"
"Rutilius Namatianus, Claudius, active 5th century.","Claudii Rutilii Namatiani De reditu suo libri II. Accedunt Hadriani, Flori, Apuleii, Anniani, Sereni, Aliorumque saec. a. V. c. x poetarum reliquiae. Recensuit et praefatus est Lucianus Mueller.","['claudium', 'rutilius', 'namatianus', 'reditus', 'ii', 'accedo', 'hadrianus', 'flos', 'apuleius', 'annianus', 'serenus', 'alius', 'que', 'saec', 'x', 'poeta', 'reliquiae', 'recenseo', 'praefor', 'lucianus', '']","Unknown","de reditu suo","0.8695652173913043"
"Lucretius Carus, Titus","De rerum natura libri sex ex editione Gilberti Wakefieldi cum notis et interpretation in usum delphini variis lectionibus notis variorum recensu editionum et codicum et indice locupletissimo accurate recensiti / T. Lucretii Cari.","['res', 'natura', 'sex', 'editio', 'gilbertus', 'wakefieldus', 'nosco', 'interpretation', 'usus', 'delphinum', 'uarius', 'lectio', 'nosco', 'uarius', 'recenseo', 'editio', 'codex', 'indices', 'locupletissimus', 'accurate', 'recenno', 'lucretium', 'co']","Unknown","de rerum natura","0.8888888888888888"
"Lucretius Carus, Titus","De rerum natura libri sex ad optimorum exemplarium fidem emendati / cum Richardi Bentleii animadversionibus Gilberti Wakefieldi ppraefationibus et commentariis integris caeterorumque interpretum praestantissimorum observationibus selectis edidit suas notas et indices copiosissimos adiecit Henr. Car. Abr. Eichstadt.","['res', 'natura', 'sex', 'optimus', 'exemplar', 'fides', 'emendatum', 'richardus', 'bentleius', 'animaduersio', 'gilbertus', 'wakefieldus', 'ppraefatio', 'commentarius', 'integer', 'caeterus', 'que', 'interpres', 'praestantissimus', 'obseruatio', 'seligo', 'edo', 'noto', 'indix', 'copiosissimus', 'adicio', 'henr', 'car', 'abnr', '']","Unknown","de rerum natura","0.8888888888888888"
"Livy","Ab urbe condita libri.","['urbs', 'condo']","Unknown","ab urbe condita","0.8888888888888888"
"Livy","T. Livii Patavini historiarum ab urbe condita libri qui supersunt XXXV/ Recensuit, & notis ad usum scholarum acommodatis illustravit J.B.L Crevier.","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'recenseo', 'nosco', 'usus', 'schola', 'acommodo', 'illustro', '']","Unknown","ab urbe condita","1.0"
"Livy","Titi Livii Patavini Historiarum ab urbe condita libri XXI, XXII = Livy's History of Rome books XXI, XXII during the second Punic war, B.C. 219-B.C. 216 / with English notes by W. Brownrigg Smith ; for the use of schools and colleges.","['titus', 'liuii', '', 'historia', 'urbs', 'condo', 'xxi', 'xxii', '', 'history', 'of', 'roma', '', 'xxi', 'xxii', '', 'the', 'second', '', 'war', '', '', 'noto', 'by', '', 'smith', 'for', 'tha', 'utor', 'of', 'schoolss', '', 'collego']","Unknown","ab urbe condita","1.0"
