author,title,matched_title_fuzzy,fuzzy_title_score,correct
"Lucretius Carus, Titus",Titi Lucretii Cari De rerum natura libri sex. / Quibus additae sunt conjecturae & emendationes Tan. Fabri cum notulis perpetuis. Et praeterea Oberti Gifanii vita Lucretii & de gente Memmia ejusdem prolegomena. Item D. Lambini index perquam necessarius,de rerum natura,1,yes
"Gregorio I, Papa, Santo, 540-604.","Diui Gregorii Papae huius nominis primi cognomento magni : liber sacramentorum nunc demum correctior at locupletior editus : ex Missali ms. Sancti Eligii / opera et studio Fr. Hugonis Menardi, monachi Congregationis S. Benedichi ...",liber sacramentorum,1,yes
"Livio, Tito, ca. 60-17 a. C.","T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes curante Ioanne Petro Millero : Tomus secundus.",ab urbe condita,1,yes
"Celso, Aulo Cornelio.",Aurelii Cor. Celsi De re medica libri octo : item Q. Sereni liber de medicina ; Q. Rhemnii Fannij Palaemonis De Ponderibus & Mensuris Liber ; Omnia ex diuersorum codicum diligentissima collatione castigata.,de medicina,1,partially
Livy.,"T. Livii Patavini Historiarum ab urbe condita libri qui supersunt omnes, cum notis integris Laur. Vallae, M. Ant. Sabellici, Beati Rhenani, at aliorium; curante Arn. Drakenborch, qui et suas adnotationes a Jo. Freinsheimio concinnata.",ab urbe condita,1,yes
Livy.,T. Livii Patavini Historiarum ab urbe condita libri I. II. = Livy's History of Rome (Part I.) Books I. II. / with notes by Henry Young.,ab urbe condita,1,yes
Livy.,"T. Livii Patavini Historiarum ab urbe condita libri qui supersunt omnes : ex recensione Arn. Drakenborchii / praeter varietatem lectionum Gronovianae, Crevierianae, Kreyssigianae, et Bekkerianae, accedunt notae integrae ex editionibus J.B.L. Crevierii ; cum indice rerum locupletissimo.",ab urbe condita,1,yes
"Festus, Sextus Pompeius, active 2nd century.","M. Verrij Flacci quae extant et Sex. Pompei Festi De verborum significatione libri XX : cum vetusto Bibliothecae Farnesianae exemplari Romae nuper edito collati, ex quo lacunae pene omnes sunt suppletae : in eos libros Ant. Augustini annotationes ex editione Veneta, Ios. Scaligeri castigationes recognitae ex Parisiensi, Ful. Vrsini notae ex Romana : accesserunt nunc denique doctissimorum virorum notae ex eorum scriptis hinc inde collectae.",de verborum significatione,0.938775510204082,yes
"Festus, Sextus Pompeius, active 2nd century.","M. Verri Flacci quae extant, et Sexti Pompeii Festi De verborum significatione libri XX. Ex editione Andraei Dacerii, cum notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum, et indicibus locupletissimis, accurate recensiti.",de verborum significatione,0.938775510204082,yes
"Festus, Sextus Pompeius, 2nd cent.","M. Verrii Flacci quae extant et Sexti Pompeii Festi De verborum significatione libri xx ex editione Andreae Dacerii, ??? notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum et indicibus locupletissimis accurate recensiti ...",de verborum significatione,0.938775510204082,yes
"Festus, Sextus Pompeius, 2nd cent.","M. Verrii Flacci quae extant et Sexti Pompeii Festi De verborum significatione libri XX / ex editione Andreae Dacerii ; cum notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum, et indicibus locupletissimis, accurate recensiti.",de verborum significatione,0.938775510204082,yes
"Lactantius, approximately 240-approximately 320.","L. Caecilii Firmiani Lactantii De mortibus persecutorum liber. Accedit Lactantii quod fertur De motibus animi fragmentum. Recognovit, praefatus est, appendicem criticam adiecit Iohannes Pesenti.",de mortibus persecutorum,0.933333333333333,partially
"Laciantius, ca. 240-ca. 320.","L. Caecilii Firmiani Lactanti De mortibus persecutorum liber, accedit Lactantii quod fertur De motibus animi fragmentum, recognovit, praefatus est, appendicem criticam adiecit Iohannes Pesenti.",de mortibus persecutorum,0.933333333333333,partially
"Lactantius, approximately 240-approximately 320.","Opera omnia ; accedunt, Carmina eius quae feruntur ; et, L. Caecilii qui inscriptus est De mortibus persecutorum liber / L. Caeli Firmiani Lactanti ; recensuerunt Samuel Brandt et Georgius Laubmann.",de mortibus persecutorum,0.933333333333333,partially
"Tacitus, Cornelius","C. Cornelii Taciti Historiarum libri quinque : accedit De moribus Germanorum libellus, Julii Agricolæ vita, De oratoribus dialogus : cum excerptis variorum notis / Jac. L. Kingsley ... editore.",dialogus de oratoribus,0.926829268292683,partially
"Grotius, Hugo, 1583-1645.","Hugonis Grotii de jure belli ac pacis libri tres : cum annotatis auctoris, nec non J. F. Gronovii notis, & J. Barbeyracii animadversionibus, commentariis insuper locupletissimis Henr. l.b. de Cocceii ... sub titulo Grotii illustrati antea editis, nunc ad calcem cujusque capitis adjectis : insertis quoque observationibus Samuelis l.b. de Cocceii ... : adduntur tandem ipsius Grotii Dissertatio de mari libero, ac Libellus singularis de aequitate, indulgentia et facilitate.",de iure belli ac pacis libri tres,0.918032786885246,yes
"Sannazaro, Jacopo, 1458-1530.","Actii Sinceri Sannazarii Neopolitani De partu virginis libri iii. ; with an introduction, brief account of the poet, and occasional English notes by a Catholic priest.",de partu virginis,0.903225806451613,yes
"Cicero, Marcus Tullius","De natura deorum libri tres. Codicibus Musei Britannici collatis sex recensuit, atque animadversionibus criticis instruxit Henricus Alanus, Hibernus.",de natura deorum,0.896551724137931,yes
"Cicero, Marcus Tullius","M. Tullii Ciceronis De natura deorum libri tres. : Cum notis integris Paulli Manucii, Petri Victorii, Joachimi Camerarii, Dionys. Lambini, et Fulv. Ursini. / Recensuit, suisque animadversionibus illustravit ac emaculavit Joannes Davisius ... ; Accedunt emendationes cl. Joannis Walkeri ...",de natura deorum,0.896551724137931,yes
"Varro, Marcus Terentius","M. Terenti Varronis De lingua latina libri qui supersunt. Ex codicum vetustissimarumque editionum auctoritate integra lectione adiecta, recensuit Leonhardus Spengel ... Accedit Index graecorum locorum apud Priscianum quae exstant ex codice monacensi, supplementum editionis Krehlianae.",de lingua latina,0.896551724137931,yes
"Cicero, Marcus Tullius.","M. Tullii Ciceronis De natura deorum libri tres, with introduction and commentary, by Joseph B. Mayor, M. A. Together with a new collation of several of the English mss. by J. H. Swainson ...",de natura deorum,0.896551724137931,yes
