Name 1,Candidate Match 1,Match 1 Probability,Candidate Match 2,Match 2 Probability,Candidate Match 3,Match 3 Probability,Candidate Match 4,Match 4 Probability,Candidate Match 5,Match 5 Probability,Candidate Match 6,Match 6 Probability,Candidate Match 7,Match 7 Probability,Candidate Match 8,Match 8 Probability,Candidate Match 9,Match 9 Probability
"Draud, Georg, 1573-1630","Draud, Georg, 1573-1635",95.65217391304348
"Drexel, Jeremias, 1581-1638","Drexel, Jeremías (S.I.), 1581-1638",81.9672131147541
"Drouin, René Hyacinthe (O.P.), 1680-1740","Drouin, René-Hyacinthe (O.P.), 1680-1740",87.5,"Drouin, René Hyacinthe, (O.P.)",82.85714285714285
"Drusius, Joannes, 1550-1616","Drusius, Johannes, 1550-1616",98.18181818181819
"Du Creux, François, 1596?-1666","Du Creux, François, 1596?-1666",95.08196721311475
"Duck, Arthur, 1580-1648","Duck, Arthur, Sir, 1580-1648",90.19607843137256
"Dueñas, Pedro de","Oña, Pedro de",82.75862068965517
"Dulaurens, François","Dulaurens,François",97.2972972972973
"Dullaert, Johannes","Izoulet, Johannes",80.0
"Dürer, Albrecht, 1471-1528","Dürer, Albrecht, 1471-1528",94.33962264150944
"Einsiedler, Josephus Maria, 1870-","Einsiedler, Josephus Maria, b. 1870",94.11764705882352
"Emlein, Friedericus, 1876-","Emlein, Friedrich, 1886-",88.0
"Enderlein, Friedrich Leonhard, 1801-1876","Enderlein, Friedrich Leonhard, b. 1801",89.74358974358975
"Eschenbach, Andreas Christian","Eschenbach, Andreas Christian, 1663-1722",84.05797101449275,"Koch, Christian Andreas",80.76923076923077
"Espen, Zeger Bernard van 1646-1728","Espen, Zeger Bernard van, 1646-1728",98.55072463768117,"Espen, Zergen Bernard van, 1646-1726",91.42857142857143
"Esseiva, Petri","Esseiva, Pierre",82.75862068965517
"Estienne, Charles, 1504-1564","Estienne, Charles, 1504-approximately 1564",80.0
"Estienne, Henri, 1528-1598","Estienne, Henri, 1531-1598",92.3076923076923
"Eucherius, of Lyon, Saint, -449?","Eucherius, of Lyon, Saint, d. 449?",93.93939393939394
"Eugalenus, Severinus","Eugalenus, Severinus, b. 1535",81.63265306122449
"Fachinei, Andrea","Fachineus, Andreas",88.23529411764706
"Fagnani, Prospero","Farinacci, Prospero",83.33333333333334
"Faguet, Emile, 1847-1916","Faguet, Émile, 1847-1916",97.95918367346938
"Fara, Giovanni Francesco","Finetti, Giovanni Francesco",82.35294117647058,"Fara, Giovanni Francesco, 1543-1591",81.35593220338984
"Feldhügel, Carl Friedrich","Feldhügel, Carl Friedrich, 1810-",88.13559322033898
"Ferrari, Francesco Bernardino, 1576?-1669","Ferrari, Francesco Bernardino, 1577-1669",96.2962962962963
"Flavin, Melchior de",Melchior de Flavin,97.2972972972973
"Florus, Lucius Annaeus","Florus, Lucius Annaeus, 2nd cent",81.4814814814815
"Fonseca, Pedro da","Fonseca, Rodrigo da",83.33333333333334
"Franco, Antonio, (S.I.)"
"Fredrich, Carl Johann, 1871-1930","Fredrich, Carl, 1871-1930",84.21052631578947
"Freitag, Johann","Freitag, Johannes",93.75
"Friderici, Robert, 1888-1985","Friderici, Robertus, 1888-",88.88888888888889
"Friedrich, Guilelmus","Friedrich, Wilhelm",84.21052631578947
"Funck, Johann Nikolaus","Furich, Johann Nicolaus",84.44444444444444
"Fuss, J. D, 1782-1860","Fuss, J. D. 1782-1860",95.23809523809523
"Fügner, Franz, 1854-1909","Fügner, Franz, 1854-",84.44444444444444
"Galloni, Antonio, 1556-1605","Gallonio, Antonio, -1605",90.19607843137256
